Payment Type,,Sabil Type,,,Voucher Type,,,
Bank,,Individual,,,Sabeel,Professional,Indivdual,Establishment
Cash,,Profesional,,,Wajebaat,Local,International,
,,Establishment,,,Qarzan Hasana,Mohammadi Scheme,Hussain Scheme,
,,,,,Niyaz,Local,International,LQ
,,,,,Mutafariq,,,
